"mrun","rbd_cc","preferencia_postulante"
53847,"12853_711000000133",1
53847,"10962_711000000131",2
54086,"10968_131000000133",1
54086,"12943_131000000123",2
54086,"12891_131000000133",3
54086,"279_131000000133",4
59609,"279_131000000133",1
59609,"12943_131000000123",2
59609,"10968_131000000133",3
59609,"12970_131000000133",4
60791,"12837_811000000133",1
60791,"313_811000000133",2
64311,"344_511000000131",1
64311,"12945_511000000133",2
64311,"317_511000000133",3
64311,"319_511000000133",4
66715,"12943_131000000123",1
66715,"279_131000000133",2
66715,"287_131000000133",3
66715,"12837_131000000133",4
74004,"10968_131000000133",1
74004,"279_131000000133",2
74004,"286_131000000133",3
74004,"283_131000000133",4
75317,"12970_231000000133",1
75317,"12830_231000000133",2
76638,"342_411000000133",1
76638,"365_411000000133",2
94016,"31340_131000000133",1
94016,"12943_131000000123",2
94016,"12885_131000000133",3
94016,"12977_131000000133",4
94016,"12970_131000000133",5
94016,"12963_131000000133",6
94016,"12891_131000000133",7
94016,"342_131000000133",8
94016,"31342_131000000133",9
94016,"356_131000000133",10
94016,"344_131000000131",11
94016,"329_131000000133",12
94271,"367_131000000133",1
95125,"279_131000000133",1
95125,"12943_131000000123",2
95125,"10968_131000000133",3
95125,"287_131000000133",4
95125,"31345_131000000133",5
95125,"285_131000000133",6
95684,"336_511000000131",1
102359,"31340_511000000133",1
102359,"12885_511000000133",2
104149,"20478_131000000133",1
104149,"217_131000000133",2
104149,"10967_131000000133",3
104149,"12836_131000000133",4
115243,"12943_811000000123",1
115243,"12945_811000000133",2
116884,"341_511000000132",1
116884,"12970_511000000133",2
116884,"350_511000000131",3
116884,"344_511000000131",4
116884,"337_511000000133",5
116884,"12868_511000000133",6
116884,"304_511000000133",7
116884,"12891_511000000133",8
116884,"342_511000000133",9
116884,"12800_511000000131",10
116884,"12958_511000000133",11
116884,"291_511000000133",12
120840,"279_231000000133",1
120840,"10968_231000000133",2
120840,"286_231000000133",3
120840,"344_231000000131",4
121900,"12963_611000000133",1
121900,"31340_611000000133",2
121900,"12970_611000000133",3
