"mrun_1","mrun_2"
5393210,26205492
5421221,377078
5428224,26251868
5448390,27006063
5454776,26250145
5487138,26187603
5507611,16696597
5511189,3697842
5550101,26599178
5552933,26406267
5563050,25919638
5563453,26201940
5570232,22227506
5579639,11154955
5631968,4841513
5663113,9159758
5671768,16538697
5706223,27625813
5724134,26755846
5753454,21670255
5757763,25432034
5757763,25954494
5757763,25958910
5784488,11579615
5793239,27631247
5793854,26887484
5795027,26014105
5795027,26507539
5826313,26791172
5846678,20336559
5846678,23492660
5847241,26591964
5866764,25933199
5867927,26223680
5868740,25245955
5871576,8069737
5876738,26250192
5897417,25958014
5897417,26399753
5907596,26177293
5913560,25659843
5917370,26434016
5933349,12035477
5935108,26845033
5948617,14084044
5948752,9612516
5948752,26775714
5952012,7984071
5977919,193788
5993011,26751334
5997925,26858790
5998553,87753
6013410,5119638
6038946,27627200
6057340,25532876
6070035,26660380
6079415,16111108
6109317,25956281
6127516,21661498
6127794,26839308
6140935,25570457
6141366,25348725
6148642,920364
6176705,2616418
6256916,26588520
6285677,26432048
6332258,21027951
6336389,27627323
6339099,26714239
6340702,15348226
6350230,26197830
6353551,26451949
6355642,26062512
6357765,27171000
6374248,26759139
6383992,258707
6398527,26226443
6424769,2181560
6431778,26327058
6477900,26840089
6478803,7650630
6478803,26058157
6478803,26061810
6504783,11529463
6504783,12072648
6504783,26685329
6513666,26699310
6522994,26715675
6528730,27038185
6531972,26625373
6578077,4873882
6596882,320658
6597824,7387402
6598492,26795861
6612924,25396928
6614633,25241047
6666620,27009608
6675307,25584127
6681306,25576801
6705751,12234124
6705751,13795807
6737486,26944133
6755279,25886113
6786322,26212824
6791129,2549017
6815319,26564680
6883088,15311843
6890451,17209906
6915137,5274965
6915137,24849639
6915137,26512215
6915335,20895285
6955286,26683553
6969068,26147737
6969068,27229176
7007930,26554903
7041416,26169573
7052758,5552241
7061123,9399485
7074176,26899807
7093883,25719239
7096810,25719434
7100269,6666620
7100269,27009608
7115434,26697612
7121503,25911127
7153550,26221301
7169957,22628095
7169957,26719978
7196253,19751897
7209755,26207162
7210177,26094818
7212525,3728183
7234726,21218281
7237086,25564142
7238168,26780823
7248164,26805617
7266407,26622962
7299721,26282662
7307732,13446103
7344441,25646956
7348106,5411034
7348106,10729859
7367866,25670093
7367866,26250667
7386503,27010299
7400550,2927083
7400550,5698133
7409069,14956774
7423679,16586737
7441771,2135913
7463612,15303721
7463612,22583957
7467859,9844435
7467859,26381031
7510725,14612034
7510725,23956900
7514521,27635907
7539393,23834106
7583569,3346366
7619370,19205451
7641300,26395632
7650630,26058157
7650630,26061810
7656600,24749211
7665601,25531607
7672535,22209177
7689991,13111033
7703984,27622374
7706025,27005435
7767992,27632444
7778622,25669090
7778622,25907724
7782348,6015833
7784529,25659236
7788882,27622534
7797220,24799068
7797996,14256768
7809281,27627955
7870916,25934882
7915307,26316418
7922208,22034311
7930693,25586824
7947410,26194683
7953818,9581085
7953818,27053143
7971578,12897546
7986597,5993011
7986597,26751334
8019701,26175579
8037860,4135677
8090825,8421971
8095024,2866065
8095024,13633235
8095024,22099632
8138796,7855741
8140770,25539633
8141152,26010244
8149078,14338411
8182575,26794172
8247538,25537195
8250735,19211999
8250735,27022612
8303867,26836474
8315353,26992475
8334375,17908286
8388380,26579996
8388380,26734065
8392853,26517051
8397876,7267336
8429655,1510672
8438781,26373769
8459493,26220277
8472684,25392538
8478342,26037971
8503496,814388
8511967,26191994
8570916,26916609
8623750,26670792
8626473,4310914
8635506,17512005
8636543,1666159
8644767,3394910
8650493,26157119
8665447,26822982
8673237,25669523
8737475,559069
8746104,25696154
8779130,25777196
8783015,26397565
8784510,25760378
8796602,25215753
8856513,26601786
8856513,26603897
8863895,6564802
8865218,18554402
8867466,2263879
8879712,9592040
8885929,6617946
8885929,12354826
8895315,27162971
8923212,27393838
8925756,17882761
8945154,26910775
8966983,1656664
8970328,6564802
8970328,8863895
8977873,13813802
8979928,8665447
8979928,26822982
8997714,7294523
9000255,26510654
9003921,25535663
9003921,26210731
9014890,26506059
9030689,19610470
9045778,27048602
9085334,24459164
9097560,27056838
9110376,3491668
9116470,25958334
9121741,9324230
9147916,25669435
9177039,962894
9194711,25568034
9197307,11239895
9197307,27631780
9203281,12675935
9225328,27634048
9245679,8885220
9252977,27634631
9331452,25659176
9343119,26298593
9350664,27048050
9383610,15185546
9395581,6131020
9397889,19201498
9397889,26655877
9438869,25162917
9451333,25946909
9454462,20075491
9454572,26998766
9469290,25528667
9474451,828584
9474704,27115802
9500620,25781326
9501250,26003552
9512533,27345206
9514421,15073120
9522792,26823808
9536376,17269047
9541426,25236878
9560603,26822235
9563788,14177208
9563788,26045524
9569242,27046614
9576219,27623804
9576628,26169658
9579444,11334708
9579444,11967101
9579444,26092797
9581085,27053143
9586373,26995368
9606646,26846932
9612516,26775714
9620480,27185324
9633678,2743223
9648348,26030587
9668083,16279024
9675158,21358113
9709676,25651470
9715226,1602187
9715358,19128669
9725762,26797436
9730760,27348869
9754932,25540354
9768216,6608365
9768409,27632183
9772841,25718766
9785739,19440625
9801994,25547372
9801994,27021998
9810378,26764208
9826545,18906926
9861914,26038835
9862029,26670003
9862531,26690446
9872228,26834792
9885135,26626840
9919700,25390577
9928371,20014272
9959814,26720827
9972784,26749782
9982682,26761159
9986080,246442
9999544,25876673
10015993,25547819
10020122,25769020
10023582,26530280
10041726,27358173
10057258,26439508
10085482,26434609
10119130,26287334
10119130,26685744
10143034,13324721
10145613,5871196
10166561,25730453
10187125,15488537
10230167,26908883
10246313,18418633
10265372,26417102
10267195,26380811
10277008,3839608
10293941,27633836
10310930,25449588
10313972,257385
10326907,25936373
10326907,26228755
10366709,16195918
10373178,21735101
10391986,20263508
10404076,1757477
10426917,25348882
10438329,3684617
10454737,26862118
10458372,2408741
10458372,26411267
10463640,24877495
10470665,11497608
10470665,26190701
10477174,27576580
10484133,27360178
10485146,2034191
10485146,26218597
10504645,27015200
10523197,26917243
10528557,5848466
10528557,19777585
10574669,16606593
10576137,10947910
10601814,25893241
10603467,6905483
10616764,4523170
10640853,581178
10643145,26329606
10654988,7266407
10654988,26622962
