"mrun_1","mrun_2"
3938018,12634095
3938018,27475831
3940324,26038307
3941307,26045873
3947387,23270763
3954037,24031674
3959183,26038096
3966265,27158367
3977655,24449697
3987505,12868532
4004229,9596044
4004229,10338809
4016567,26001234
4032752,26679120
4068278,26700992
4085407,26321538
4121072,26391760
4136995,26836212
4147466,26736914
4161532,8400883
4163812,26169987
4166413,22273858
4178993,22147515
4191520,2589362
4207067,26185075
4219919,18960117
4221988,3089398
4229692,26597949
4238750,25539907
4239222,25727011
4249632,25293838
4264044,26663730
4269628,2394453
4269628,23752846
4277382,11241631
4285913,12243840
4299434,21015478
4306634,3711179
4315118,26138448
4318809,25918334
4322455,20304185
4322455,25733019
4322455,26216682
4344117,1377170
4359242,27633841
4373020,25993876
4382177,27384657
4396651,25412967
4397811,3814828
4401978,23489889
4413781,26728848
4418384,25533990
4427854,4239222
4428449,6711072
4428449,22224679
4428449,25650884
4428699,26552923
4445410,10677413
4486798,16200228
4486798,19818017
4486798,27033649
4491776,26717850
4500085,24118574
4500085,26017191
4501378,9615926
4501378,16570255
4523540,25891327
4536233,26672789
4590228,27192940
4594924,26227959
4603201,10628472
4615291,2513052
4615291,26880184
4621108,26706771
4637670,25694172
4639362,14250259
4652355,22893631
4652475,1516101
4652475,10159853
4665310,7720206
4675798,26854153
4681156,13424441
4693019,25876864
4710940,22178012
4760735,27222971
4769357,6691938
4800206,26555446
4801579,27100301
4810917,21726599
4827003,13840069
4830831,18027112
4844742,26041392
4891496,26872418
4893488,26905340
4904861,27229911
4911769,19367402
4915407,12289284
4915407,26886742
4917599,25654889
4923722,12417115
4923722,26181083
4937465,25681295
4951245,25727034
4951245,26658291
4959930,5194593
4959930,25170106
4961562,26034684
4961562,26217902
4966500,7121598
4980348,2021324
4985707,26424191
4989253,25195826
4999449,23425210
5015775,25659961
5015775,26211557
5017313,1606757
5017313,13997569
5026507,23578065
5027449,14499421
5027449,27344303
5034451,26208898
5040908,7089965
5082816,26016323
5094758,22569535
5094980,26275772
5113363,25669481
5118290,26147101
5125577,2848047
5125577,26644294
5134568,19016009
5137466,26301155
5146682,3197518
5153884,5618626
5153884,13237895
5162393,14939420
5163242,26648156
5192666,26333270
5194593,25170106
5201132,12395670
5203765,15883587
5212192,26408033
5224608,27224267
5228435,3193515
5231241,26513246
5236981,16078409
5269688,9600928
5286777,26229534
5317298,3584669
5317298,11095283
5334426,26339207
5368618,25855814
5383320,1265656
5383320,22128379
5389946,19275067
5398401,26902642
5399336,22438033
5399336,25258674
5402482,18889791
5406110,25354509
5422110,19153732
5428788,5113363
5428788,25669481
5441128,26663485
5445035,25557585
5445212,13967625
5445927,26660251
5462035,25344794
5473145,26442155
5556995,16466712
5563282,26593031
5587030,9894852
5593079,26191020
5616761,5138778
5618626,13237895
5632482,26201904
5641213,25541604
5642319,27508908
5643336,8988449
5645452,26551566
5691605,2875305
5695383,18801785
5699894,23681063
5709572,25208835
5709572,26247614
5738124,25317727
5769689,25530833
5793650,19543754
5809757,17012755
5812109,26546750
5814812,17335267
5814812,26625418
5824865,25221327
5831232,16742805
5845328,26083123
5857569,25803045
5882074,26176528
5884543,26343122
5888209,18803054
5888209,25646295
5895113,26137577
5907288,18796876
5914843,25691178
5919243,19878260
5932055,26335390
5941791,25588760
5962702,25780839
5970462,9829229
5983721,24310371
5997869,7830234
5997869,26901020
6003887,25229324
6026195,23969311
6026195,25670587
6068089,26364881
6069480,25922087
6111321,26351626
6114316,25988657
6128646,19009438
6128646,26425806
6162081,27221288
6163420,26538408
6169104,11189546
6181640,24508606
6181640,26350434
6182121,650809
6206709,25564639
6212444,26855053
6220787,330950
6224327,25171154
6251897,26879547
6259600,26569950
6270416,26178776
6270416,26332466
6291278,4621108
6291278,26706771
6307199,2272288
6313409,25428669
6318504,72102
6332425,19524684
6332425,26393068
6339836,26758845
6369539,27392515
6374732,27046343
6390154,26900280
6406371,26019866
6417719,17573165
6418663,17483212
6425944,18759785
6425944,26798383
6427514,2338449
6457556,11428431
6462975,26417093
6477043,23500309
6484907,27207841
6493698,26445371
6493868,25670611
6505932,12872512
6507318,19810438
6507318,26739592
6521719,7528075
6521719,15773413
6534272,25958189
6534272,26216787
6555307,12979294
6555307,26179496
6557316,6214467
6558214,27116139
6574436,26553005
6574977,26057864
6608245,25527464
6608245,25545609
6614598,25212616
6625446,26045458
6648264,20384934
6648264,25540980
6652209,23094970
6652209,25193373
6656662,5809757
6656662,17012755
6659614,24069405
6663097,14387370
6677673,25583540
6689225,23819917
6700434,26177221
6700434,26272995
6707755,8106022
6711072,25650884
6729094,25588126
6745815,25455058
6747675,5080810
6757477,26273029
6771540,26348121
6771540,27232131
6788773,26742085
6790344,27631606
6791724,25413419
6797295,25919302
6806510,25994999
6830237,25546895
6840569,25903211
6844165,26423945
6854425,25253774
6862572,17705044
6865018,8373063
6866938,26276630
6909445,4376049
6911064,557160
6911064,9019137
6915137,5274965
6925199,26185176
6940268,5593079
6940268,26191020
6941345,18382698
6949079,11223268
6951286,17408216
6957556,13047500
6957556,26002182
6960989,267428
6960989,2698349
6963313,25230940
6966645,25682252
6970047,18083231
6971950,26218668
6979817,12135025
6982064,26332510
6984165,26712685
7016053,17028564
7016053,27373680
7018608,19279589
7049741,17570520
7052657,11549136
7066216,27333727
