"mrun_1","mrun_2"
2496568,22931921
2502824,5666924
2502824,26318204
2510377,26193139
2528689,8067038
2530587,17311605
2530587,24005338
2546227,13150527
2563499,26148639
2565401,25351689
2579674,19319082
2579674,26574014
2584428,26428589
2585551,25916745
2589765,26399392
2590051,4519292
2595001,21058376
2596210,25960525
2597538,26281186
2599520,26827215
2602034,11440557
2602034,26448173
2618443,9876272
2619691,18523329
2624217,26690129
2645850,3358549
2662340,24960724
2662875,26888139
2669229,27627088
2670590,25835625
2685816,26211298
2686379,26728961
2697114,16410775
2701480,25440875
2701480,25448985
2704467,25684910
2709296,18671409
2709296,26777245
2738441,9579895
2745666,12134573
2758436,26794199
2759532,2403155
2759532,9980204
2761016,21324867
2761016,26415056
2771171,14772160
2774547,13930662
2775441,2594338
2775441,4911398
2787139,26216989
2788240,25155777
2800213,14650607
2804726,26707430
2811517,11462432
2822937,26869746
2826841,5992264
2826841,20446210
2828724,22423806
2828724,25935042
2833514,26292836
2835571,18580919
2837328,8751822
2840102,26179061
2842063,26260908
2843247,4126144
2853437,10762805
2854530,9049160
2862564,16323998
2866439,25573472
2872398,6582985
2873598,26382512
2889091,26559744
2892784,27026472
2893235,26909586
2896574,14160768
2910515,26862453
2913709,26751896
2918070,4317164
2923840,26998792
2930745,27355519
2934591,25985576
2936181,26648159
2942778,19682266
2943404,1422267
2948085,25233084
2948138,20543360
2948197,26501772
2951760,23316612
2955225,13849238
2961653,27354815
2968895,16877327
2970191,26424636
2972117,27402090
2982477,1694697
2993142,25440522
2998032,26170002
2998839,26814294
3001477,1885771
3004815,13422766
3004815,16371434
3005584,25677932
3014477,11464296
3014477,25531951
3037707,26644291
3066819,25565029
3086907,12132213
3100429,26007220
3100429,26772405
3106364,15571733
3112089,6460201
3112089,25723544
3113574,4808462
3144266,26818942
3146106,25196384
3148811,12245338
3153544,27360090
3164474,27630004
3166590,26529004
3168588,2302730
3184421,27626383
3184463,6103292
3214792,25260774
3215897,6088900
3234580,4308319
3234580,10655314
3235714,8641715
3236077,11028351
3244675,1641709
3254762,26323008
3257781,1741368
3260556,25441290
3262387,8577727
3266187,702965
3266528,27044022
3268191,27336253
3308049,26904522
3312554,25952808
3317480,26380781
3326111,27376516
3333188,10166670
