"rbd_cc","vacantes"
"8452_611000000131",5
"8452_711000000131",8
"8452_811000000131",9
"8454_401000000222",50
"8454_501000000221",57
"8454_111000000121",45
"8454_211000000121",27
"8454_311000000123",13
"8454_411000000123",14
"8454_511000000123",12
"8454_611000000123",14
"8454_711000000123",50
"8454_811000000123",35
"8454_131000000123",61
"8454_231000000123",28
"8454_351052010123",2
"8454_351053014123",4
"8454_351053015123",11
"8454_351058035123",2
"8454_451052010123",11
"8454_451053014123",4
"8454_451053015123",11
"8454_451058035123",7
"8455_501000000111",35
"8455_111000000113",52
"8455_211000000113",40
"8455_311000000113",8
"8455_411000000113",13
"8455_511000000113",5
"8455_611000000113",1
"8455_711000000113",17
"8455_811000000113",13
"8455_131000000113",24
"8455_231000000113",11
"8455_331000000113",4
"8455_431000000113",1
"8457_401000000111",35
"8457_501000000111",18
"8457_111000000111",0
"8457_211000000111",3
"8457_311000000113",5
"8457_411000000113",4
"8457_511000000113",3
"8457_611000000113",12
"8457_711000000113",29
"8457_811000000113",26
"8457_131000000113",24
"8457_231000000113",20
"8457_341041005113",1
"8457_361064001113",5
"8457_441041005113",0
"8457_461064001113",0
"8458_401000000132",70
"8458_501000000131",13
"8458_111000000133",14
"8458_211000000133",6
"8458_311000000133",2
"8458_411000000133",1
"8458_511000000133",5
"8458_611000000133",4
"8458_711000000133",3
"8458_811000000133",14
"8458_131000000133",24
"8458_231000000133",15
"8458_331000000133",30
"8458_431000000133",18
"8467_401000000133",2
"8467_501000000133",1
"8467_111000000133",0
"8467_211000000133",2
"8467_311000000133",1
"8467_411000000133",2
"8467_511000000133",2
"8467_611000000133",1
"8467_711000000133",0
"8467_811000000133",2
"8468_111000000133",6
"8468_211000000133",5
"8468_311000000133",5
"8468_411000000133",3
"8468_511000000133",5
"8468_611000000133",5
"8468_711000000133",3
"8468_811000000133",4
"8470_401000000133",5
"8470_501000000133",4
"8470_111000000133",4
"8470_211000000133",2
"8470_311000000133",4
"8470_411000000133",4
"8470_511000000133",3
"8470_611000000133",4
"8470_711000000133",2
"8470_811000000133",5
"8474_131000000133",120
"8474_231000000133",20
"8474_331000000133",5
"8474_361063009133",11
"8474_431000000133",23
"8474_461063009133",15
"8475_401000000131",35
"8475_401000000132",35
"8475_501000000131",5
"8475_501000000132",35
"8475_111000000133",22
"8475_211000000133",27
"8475_311000000133",14
"8475_411000000133",1
"8475_511000000133",16
"8475_611000000133",8
"8475_711000000133",10
"8475_811000000133",5
"8479_401000000133",15
"8479_501000000133",9
"8479_111000000133",9
"8479_211000000133",10
"8479_311000000133",10
"8479_411000000133",5
"8479_511000000133",8
"8479_611000000133",6
"8479_711000000133",7
"8479_811000000133",12
"8482_401000000133",14
"8482_501000000133",11
"8482_111000000133",2
"8482_211000000133",3
"8482_311000000133",3
"8482_411000000133",2
"8482_511000000133",7
"8482_611000000133",3
"8482_711000000133",0
"8482_811000000133",4
"8483_401000000131",44
"8483_501000000131",24
"8483_111000000133",14
"8483_211000000133",12
"8483_311000000133",18
"8483_411000000133",15
"8483_511000000133",17
"8483_611000000133",6
"8483_711000000133",14
"8483_811000000133",13
