"mrun","rbd_cc","preferencia_postulante"
835288,"24327_131000000133",3
835288,"11678_131000000133",4
835288,"24307_131000000133",5
835288,"24305_131000000133",6
844721,"24305_711000000133",1
844721,"24338_711000000133",2
844721,"24307_711000000133",3
844721,"8458_711000000133",4
844721,"8433_711000000133",5
853343,"11680_231000000133",1
853343,"24305_231000000133",2
874807,"8411_131000000133",1
874807,"24300_131000000133",2
883474,"24307_131000000133",1
883474,"8427_131000000133",2
883474,"8429_131000000133",3
883939,"24300_131000000133",1
883939,"8411_131000000133",2
887283,"8434_511000000133",1
887283,"8458_511000000133",2
887283,"24311_511000000133",3
887283,"24307_511000000233",4
887283,"24305_511000000133",5
889689,"8429_131000000133",1
889689,"8430_131000000133",2
889689,"8442_131000000233",3
889689,"8424_131000000133",4
889689,"8427_131000000133",5
889689,"8454_131000000123",6
889689,"24329_131000000123",7
890730,"24317_131000000133",1
890730,"8422_131000000113",2
911393,"24329_711000000123",1
911393,"24327_711000000133",2
911393,"24305_711000000133",3
911393,"24307_711000000133",4
922691,"8458_211000000133",1
922691,"8441_211000000133",2
922691,"8435_211000000133",3
922691,"8442_211000000133",4
924931,"8458_131000000133",1
924931,"8424_131000000133",2
925579,"8413_611000000133",1
925579,"8417_611000000133",2
929999,"24327_131000000133",1
929999,"24307_131000000133",2
929999,"11680_131000000133",3
929999,"24305_131000000133",4
944955,"8421_411000000133",1
944955,"8412_411000000133",2
944955,"24317_411000000133",3
944955,"8413_411000000133",4
944955,"16895_411000000133",5
961934,"8458_711000000133",1
961934,"24318_711000000133",2
961934,"24307_711000000133",3
961934,"8455_711000000113",4
981739,"24338_511000000133",1
981739,"11680_511000000133",2
981739,"24305_511000000133",3
981739,"24307_511000000233",4
987450,"24305_711000000133",1
987450,"24307_711000000133",2
987450,"8458_711000000133",3
987450,"8442_711000000133",4
987450,"24327_711000000133",5
987450,"24313_711000000133",6
987974,"24327_231000000133",1
987974,"24338_231000000133",2
987974,"11678_231000000133",3
999740,"8424_131000000133",1
999740,"24307_131000000133",2
999740,"24316_131000000133",3
999740,"8429_131000000133",4
999740,"8442_131000000233",5
999740,"8425_131000000133",6
1014717,"11678_811000000133",1
1014717,"8457_811000000113",2
1019851,"8434_711000000133",1
1019851,"8455_711000000113",2
1019851,"8457_711000000113",3
1019851,"8439_711000000133",4
1019851,"24307_711000000133",5
1019851,"8436_711000000133",6
1019851,"8435_711000000133",7
1019851,"8438_711000000133",8
1019851,"24302_711000000133",9
