"mrun_1","mrun_2"
2179478,11103387
2180383,26228455
2199838,5345176
2213679,5806186
2213679,27056232
2222567,9747732
2222567,26184016
2223451,26326807
2234966,8638743
2245111,5984125
2259373,17134215
2266656,26901245
2270235,25427547
2272051,6000393
2272051,24542913
2273921,26403509
2275709,24592022
2276135,26261125
2284296,25366501
2295938,22659136
2301953,27371768
2302285,26826654
2303973,7956654
2303973,25336340
2303973,25424375
2306374,26006840
2316413,2993160
2316413,8612042
2316413,16286109
2316413,25565320
2323888,25668716
2325864,26728766
2328584,6304963
2333147,25960050
2335915,1795826
2338144,26600346
2339010,26448445
2350861,25933348
2359113,20182883
2359113,25931997
2386367,15357275
2389565,5160722
2393790,22363390
2400071,26718666
2436170,25291798
2436935,26023955
2440052,26411707
2440274,26885954
2442796,25688077
2443014,8128662
2445043,25258695
2446504,7408835
2455919,3722857
2455919,25362002
2463812,26199363
2466804,10138927
2481379,26836419
2481888,24233920
2486774,25535775
2490688,26628645
2492493,26898260
2498434,566912
2498434,25529664
2499185,25180038
2500011,18185148
2506697,14822569
2509230,17081308
2511938,25589000
2512228,26692875
2512228,26901016
2516336,15305510
2520223,25284474
2522876,26786586
2522899,13483920
2527533,26178269
2529399,26434260
2535860,2923171
2567088,4310204
2567088,26171174
2570323,23414524
2577421,25661838
2580589,16883577
2581106,26326835
2583118,26777707
2583341,14544879
2592068,7993972
2592068,11189140
2593222,26128775
2594257,25898477
2594619,17713941
2597606,26678720
2597606,26880315
2601183,12161709
2601183,25280770
2602971,26034782
2609958,26542568
2610712,8677754
2610712,25282985
2621036,26615352
2622203,26586409
2626142,25884139
2636261,27527021
2639037,24618590
2645850,3358549
2651233,26541218
2651233,27103390
2660456,13190816
2664222,25722860
2666061,18206422
2668746,26888789
2672412,25910782
2677227,21285371
2691600,5134434
2709646,25645810
2712613,97365
2715904,8830478
2715904,26039529
2717428,4987390
2724627,26450069
2729120,24820583
2735308,25193576
2737120,15816179
2740876,25858365
2742460,14253435
2742655,26335766
2751283,13689284
2754629,26575644
2766371,15935112
2779457,25989939
2780290,15679539
2781494,17654251
2786343,8055321
2786398,26861386
2794082,27243011
2800622,25932510
2804909,861833
2804909,17204341
2813941,9655341
2813941,13460953
2813941,27008951
2818820,7823021
2822452,7567568
2822452,20529558
2822452,25272306
2826519,26782452
2836771,25986122
2837188,6627206
2847457,9190662
2847457,26694857
2860240,3725742
2866784,26399318
2867845,25927587
2873733,7510206
2873733,13322526
2873733,18925761
2874442,26318830
2890616,10207815
2895848,25585592
2909729,5596522
2918465,27163256
2920239,25348551
2920239,25660402
2925498,3031471
2925602,26812562
2927979,26817686
2930911,25527275
2945236,26763015
2958156,650329
2964915,24608959
2967261,26597202
2972075,6438254
2976165,27040411
2980921,10785791
2990203,25992063
2990203,26901382
2991160,3784184
2991160,25854119
2993160,8612042
2993160,25565320
2993271,26333603
2996399,15211330
3019748,25659717
3022923,11601142
3025036,25895550
3028236,4007719
3028236,26503445
3034354,25418141
3034354,25927311
3052239,12759229
3052330,27202185
3063039,18217235
3065078,16657383
3070420,26624924
3080895,26809726
3082984,26668748
3099745,26989701
3107605,26895533
3108187,27026988
3112308,7817332
3115453,26174822
3115453,26219055
3128131,26272838
3128961,1959347
3137162,9545459
3142682,1709536
3142682,14426225
3148068,25880710
3155637,26333856
3156748,22258667
3161654,12838164
3164650,25883977
3166158,14148006
3173091,15298932
3175181,26654367
3178165,6076471
3180381,26715334
3184628,26411820
3193148,12620536
3197735,5317170
3208254,25440423
3209924,5388030
3212211,25526669
3213859,25721166
3221950,19455995
3223414,27194361
